,代码,名称,,涨幅,现价,涨跌,买价,卖价,总手,总金额,现手,1分钟涨速,实体涨幅,现均差%,换手,委比%,总市值,流通市值,流通比例,封单额_新,封单量_新,4分钟涨速,当日偏离值,异动偏离值,10日内偏离值,30日内偏离值,10日异动次数,内盘,外盘,内外比,备注,利空,利好,主力净量,量比,TTM市盈率,净利润,市净率,每股盈利,细分行业,所属行业,昨收,开盘,开盘涨幅,竞价换手,最高,最低,5日涨幅,10日涨幅,20日涨幅,年初至今,振幅,买量,卖量,笔数,贡献度,机构动向,异动类型,总股本,流通股本,利润总额,净利润增长率,每股净资产,金叉个数,散户数量,自选时间,自选价格,自选收益,上市日期,
32,SH688166,博瑞医药,--,+20.01%,35.44,+5.91,35.44,--,12083314,412524780,6627↑,+0.00%,+17.39%,+4.40,2.77%,+100.00,15444574000,15444574000,100.00%,106491317,3004834,+0.00%,--,--,--,--,--,6487870,5595444,1.16,--,无,有,0.53,1.45,303.7,9293715,6.07,0.021,原料药,化学制药,29.53,30.19,+2.24%,0.02%,35.44,29.74,+18.49%,+7.56%,-14.60%,-27.74%,19.30%,3004834,--,15196,+0.13,18.51,--,435794990,435794990,-3476900亿,-28.29%,5.84,6,-47.44,--,--,--,20191108,
32,SH688192,迪哲医药-U,--,+20.01%,67.60,+11.27,67.60,--,15796405,1056557670,300↓,+0.00%,+7.88%,+1.27,3.43%,+100.00,31445211000,31178073000,99.15%,103894846,1536906,+0.00%,--,--,--,--,--,13078568,2717837,4.81,--,无,有,0.30,1.98,,-95557356,25.44,-0.210,化学制剂,化学制药,56.33,62.66,+11.24%,0.24%,67.60,62.00,+49.62%,+54.30%,+82.95%,+17.36%,9.94%,1536906,--,10719,+0.27,5.48,--,465165840,461214090,-96342304亿,50.36%,2.66,0,811.59,--,--,--,20211210,
4,SZ301520,万邦医药,--,+20.00%,58.79,+9.80,58.79,--,17676244,964698380,4100↓,+0.00%,+22.48%,+8.60,54.06%,+100.00,5477545000,1922341500,35.09%,10893258,185291,+0.00%,--,--,--,--,--,8511568,9164676,0.929,--,无,有,1.27,1.16,225.2,-261782,3.61,-0.003,医疗研发外包,医疗服务,48.99,48.00,-2.02%,1.53%,58.79,47.20,+37.55%,+89.65%,+136.10%,+108.74%,23.66%,185291,0,47929,--,3.65,--,93171373,32698443,-1804235亿,-102.2%,16.27,3,-259.41,--,--,--,20230925,
,SZ300528,幸福蓝海,--,+19.99%,16.99,+2.83,16.99,--,38989840,633217890,100↓,+0.00%,+17.25%,+5.29,10.46%,+100.00,6330610800,6330610800,100.00%,51518777,3032300,+0.00%,--,--,--,--,--,20877152,18112688,1.15,--,无,无,2.94,2.02,,-4185399,16.50,-0.011,影视院线,影视院线,14.16,14.49,+2.33%,0.04%,16.99,14.38,+21.97%,+20.50%,+15.19%,-18.28%,18.43%,3032300,0,40345,--,33.97,--,372608050,372608050,-4067457亿,-105.9%,1.03,5,-158.21,--,--,--,20160808,
4,SZ300149,睿智医药,--,+19.98%,10.39,+1.73,10.39,--,73956652,750365470,3400↓,+0.00%,+18.74%,+2.82,15.58%,+100.00,5173845900,4930714400,95.30%,87978343,8467598,+0.00%,--,--,--,--,--,35826561,38130091,0.940,--,无,有,4.41,2.83,,-18156469,4.04,-0.040,医疗研发外包,医疗服务,8.66,8.75,+1.04%,0.04%,10.39,8.67,+18.34%,+4.95%,+34.59%,+8.68%,19.86%,8467598,0,46236,--,30.36,--,497963990,474563470,-23438904亿,-373.4%,2.58,9,87.63,--,--,--,20101222,
,SZ300231,银信科技,--,+19.95%,9.08,+1.51,9.08,--,51714060,446358620,2300↓,+0.00%,+20.26%,+5.93,11.64%,+100.00,4034402100,4034194900,99.99%,27249988,3001100,+0.00%,--,--,--,--,--,22264981,29449079,0.756,--,无,无,2.44,5.76,78.29,12789261,2.45,0.029,IT服务,IT服务,7.57,7.55,-0.26%,0.00%,9.08,7.51,+17.77%,+11.55%,+4.01%,-12.52%,20.74%,3001100,0,37617,--,28.27,--,444317410,444294600,13571325亿,-42.14%,3.71,6,-207.31,--,--,--,20110615,
,SZ300692,中赋科技,--,+18.22%,9.67,+1.49,9.66,9.67,102345940,959526180,2200↓,-0.31%,+17.78%,+3.60,19.95%,-84.76,5437210000,4961503300,91.25%,--,--,-0.31%,--,--,--,--,--,47680422,54665518,0.872,--,无,无,2.47,10.31,82.94,17912342,1.71,0.032,水务及水治理,环境治理,8.18,8.21,+0.37%,0.01%,9.82,8.12,+18.07%,+18.07%,+25.58%,+15.12%,20.78%,20400,6007,33166,--,11.67,--,562276120,513082040,19594985亿,-13.35%,5.64,8,565.35,--,--,--,20170821,
32,SH688046,药康生物,--,+17.02%,28.81,+4.19,28.80,28.81,24051594,678745790,3307↓,+0.03%,+16.22%,+2.39,5.87%,-54.42,11812100000,11812100000,100.00%,--,--,+0.04%,--,--,--,--,--,14857857,9193737,1.62,--,无,无,0.29,2.53,73.94,47103796,5.18,0.120,医疗研发外包,医疗服务,24.62,24.79,+0.69%,0.01%,29.54,24.62,+23.81%,+11.80%,+65.38%,+89.91%,19.98%,46477,88580,24657,+0.09,4.92,--,410000000,410000000,53555016亿,57.12%,5.56,5,23.79,--,--,--,20220425,
32,SH688333,铂力特,--,+16.71%,116.20,+16.64,116.19,116.20,32427071,3777863100,700↓,+0.00%,+13.92%,-0.30,11.82%,-47.15,31876237000,31876237000,100.00%,--,--,+0.00%,--,--,--,--,--,16827799,15599272,1.08,--,有,无,0.61,1.64,135.3,16775788,6.37,0.061,其他通用设备,通用设备,99.56,102.00,+2.45%,0.04%,119.47,102.00,+29.10%,+8.52%,+55.97%,+4.28%,17.55%,901,28194,68333,+0.23,4.43,--,274322170,274322170,12219691亿,212.2%,18.23,9,783.64,--,--,--,20190722,
,SZ300683,海特生物,--,+16.51%,29.50,+4.18,29.50,29.51,19387213,543191230,100↓,+0.03%,+16.60%,+5.85,15.88%,+84.62,3861384500,3600889200,93.25%,--,--,+0.03%,--,--,--,--,--,8431063,10956150,0.770,--,无,无,1.78,2.83,,-23046268,1.81,-0.180,医疗研发外包,医疗服务,25.32,25.30,-0.08%,0.02%,30.08,25.07,+19.00%,+10.28%,+18.28%,+6.38%,19.79%,3800,1000,46961,--,23.13,--,130894391,122064041,-26833502亿,-65.44%,16.33,6,-287.48,--,--,--,20170808,
